營業區處#請求號數#工作概述#第一次停電時間#第二次停電時間#停電範圍#查詢電話(1911)#
台電宜蘭區營業處#H36911#管線遷移工程#2017/10/25 13:00~17:00#無#宜縣壯圍鄉土圍路#1911#
台電宜蘭區營業處#H36911#管線遷移工程#2017/10/25 13:00~17:00#無#宜縣礁溪鄉踏踏路#1911#
台電宜蘭區營業處#L28720#管線遷移工程#2017/10/26 09:00~12:00#無#宜縣三星鄉清洲五路#1911#
台電宜蘭區營業處#L28719#管線遷移工程#2017/10/26 09:00~12:00#無#宜縣冬山鄉得安村#1911#
台電宜蘭區營業處#L28719#管線遷移工程#2017/10/26 09:00~12:00#無#宜縣冬山鄉大埤一路#1911#
台電宜蘭區營業處#L28719#管線遷移工程#2017/10/26 09:00~12:00#無#宜縣冬山鄉大埤二路#1911#
台電宜蘭區營業處#L28734#管線遷移工程#2017/10/27 11:00~12:00#無#宜縣五結鄉光榮北路#1911#
台電宜蘭區營業處#H36920#管線遷移工程#2017/11/01 10:00~17:00#無#宜縣頭城鎮港口路#1911#
台電宜蘭區營業處#H36920#管線遷移工程#2017/11/01 10:00~17:00#無#宜縣頭城鎮濱海路一段#1911#
台電宜蘭區營業處#H36920#管線遷移工程#2017/11/01 10:00~17:00#無#宜縣頭城鎮港墘路#1911#
